"Description","Platform","Date of Impact","Macro","Meso","Micro","Media","Story","Story Link","Publications","Story Partner","Topic","Subtopic","Grant","Tags","Submitter","Author","Attachments","Additional notes","Edit","ID"
"California Regulators Sued for Allowing Increased Use of Toxic Fumigant without Public Input","","02/05/2017","","Lawsuit filed","","Mention / Citation","","","

  Myinforms","","Environment, Government accountability, Working world","Dark Side of the Strawberry","","","","","","risks associated with its use. A 2014 publication by the Center for Investigative Reporting, Dark Side of the Strawberry, revealed that","edit","64616"
"Journalist Charged With Criminal Trespass and Rioting While Covering Latest North Dakota Pipeline Arrests","","02/06/2017","","","","Mention / Citation","","","

  Jezebel","","Environment, Government accountability","","","DAPL, Standing Rock","","","","latest confrontation on assignment for Indian Country Today and the Center for Investigative Reporting when she was swept up in the raid:","edit","64646"
"Journalist arrested in sweep of 'rogue' protesters","","02/06/2017","","Organization uses content","","Mention / Citation","","","

  Environment & Energy Publishing","","Environment, Government accountability","","","DAPL, Standing Rock","","","","","edit","64651"
"Journalist arrested at pipeline protest","","02/06/2017","","","","Mention / Citation","","","

  The Bismarck Tribune","","CIR (general), Environment, Government accountability, Reveal (general)","","","DAPL, Standing Rock","","","","covered the Standing Rock protests since September for the Center for Investigative Reporting, Indian Country Media Network, PBS Newshour","edit","64661"
"Journalist Charged With Criminal Trespass and Rioting While Covering Latest North Dakota Pipeline Arrests","","02/06/2017","","","","Blog mentions content","","","

  True Viral News","","CIR (general), Government accountability, Reveal (general)","","","DAPL, Standing Rock","","","","latest confrontation on assignment for Indian Country Today and the Center for Investigative Reporting when she was swept up in the raid:","edit","64666"
"Women Fear Drug They Used To Halt Puberty Led To Health Problems","","02/07/2017","","","","Mention / Citation","","","

  Investigative Reporters and Editors","","Government accountability, Health, Women's rights","","","","","","","by Kaiser Health News, in collaboration with Reveal from the Center for Investigative Reporting, shows that some women who took the drug are","edit","64676"
"Look Ahead: How Journalists Can Use Fader to Produce and Publish VR Stories","","02/07/2017","","","","Mention / Citation","","","

  Editor & Publisher","","CIR (general), Reveal (general)","","","VR, Fader","","","","VR experiences was born back in 2015 at an event hosted by The Center for Investigative Reporting (CIR). Rath-Wiggins said she and her team","edit","64686"
"First Amendment Under Siege as Another Journalist Arrested at Standing Rock","","02/07/2017","","Organization uses content","","Blog mentions content","","","

  Eco Watch","","Environment","","","Standing Rock","","","","includes Indian Country Media Network, YES! Magazine and the Center for Investigative Reporting's Reveal. In Canada the Aboriginal People's","edit","64701"
"Occupational Health News Roundup [The Pump Handle]","","02/07/2017","","","","Blog mentions content","","","

  Before It's News","","Government accountability, Religion, Working world","Trump","","","","","","the American Prospect.

In other news:

Reveal at the Center for Investigative Reporting: Jennifer Gollan reports on a draft executive order","edit","64706"
"A brief history of presidents telling ‘so-called’ judges to get lost","","02/08/2017","","","","","","","

  Blog - Reveal","","","","","","","","","norms, and not just legal procedures.”

Patrick Michels can be reached at pmichels@revealnews.org. Follow him on Twitter: @patrickmichels.","edit","64756"
"Occupational Health News Roundup [The Pump Handle]","","02/08/2017","","","","","","","

  Myinforms","","","","","","","","","the American Prospect.

In other news:

Reveal at the Center for Investigative Reporting: Jennifer Gollan reports on a draft executive order","edit","64761"
"Really is the no one in the Republican Party who can comprehend … SILENT SPRING … by Rachel Carson…","","02/07/2017","","","","","","","

  Authentically Wired","","","","","","","","","Spills in Nation’s Waterways Read the Article at The Center for Investigative Reporting New Bill Would Block EPA From Regulating Greenhouse","edit","64766"
"Putting a stop to fascism","","02/07/2017","","","","","","","

  Literacy, life, and laughter","","","","","","","","","https://www.publicintegrity.org Reveal (The Center for Investigative Reporting) https://www.revealnews.org AllSides http://www.allsides.com","edit","64771"
"Seattle Votes to Divest $3 Billion from Wells Fargo Because of the Bank's Dakota Access Pipe Financing","","02/07/2017","","","","","","","

  The Stranger","","","","","","","","","site. Monet, who has reported for PBS News Hour, the Center for Investigative Reporting, Al Jazeera America, PRI, Indian Country Today, and","edit","64776"
"Occupational Health News Roundup","","02/07/2017","","","","","","","

  ScienceBlogs","","","","","","","","","the American Prospect.

In other news:

Reveal at the Center for Investigative Reporting: Jennifer Gollan reports on a draft executive order","edit","64781"
"Trump and taxpayer money","","02/07/2017","","","","","","","

  KCRW 89.9 FM","","","","","","","","","and other major health problems.

Guests:
Christina Jewett, Center for Investigative Reporting (@JewettCW)

More:
Women Fear Drug They Used","edit","64786"
"Reveal: Trial by fire","","02/07/2017","","","","","","","

  KGNU News","","","","","","","","","follow up.

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX. For more, check out our website and","edit","64791"
"Groundbreaking Bill in Illinois Would Give Temp Workers Equal Pay and Rights as Direct Hires","","02/09/2017","","","","","","","

  In These Times","","","","","","","","","it in the United States.”

Last year, the Center for Investigative Reporting found a pattern of systemic racial and gender discrimination in","edit","64796"
"Humboldt DA Investigator Named California ‘Investigator of the Year’ For Her Work on Sexual Assault, Human Trafficking Cases","","02/09/2017","","","","","","","

  Lost Coast Outpost","","","","","","","","","day to improve public safety.”

###

PREVIOUSLY

Center for Investigative Reporting Examines Sexual Abuse and Exploitation in the Local Weed","edit","64801"
"Freedom of Speech Forum at Occidental College","","02/09/2017","","","","","","","

  Los Angeles Sentinel","","","","","","","","","at UC Irvine, Amy Pyle Editor-In-Chief for The Center for Investigative Reporting & Salam al-Marayati of the Muslim Public Affairs Council.","edit","64806"
"What would you tell Trump about the Dakota Access Pipeline?","","02/10/2017","","","","","","","

  Blog - Reveal","","","","","","","","","House a call, too. That number is 202-456-1111.

Cole Goins can be reached at cgoins@revealnews.org. Follow him on Twitter: @colegoins.","edit","64811"
"Will Trump’s policies affect your work safety? We want to hear about it","","02/10/2017","","","","","","","

  Blog - Reveal","","","","","","","","","permission. Please send us your experiences and tips to workers@revealnews.org.

If you’re worried about being discovered, here’s a guide","edit","64816"
"The Deadly Danger of Trump’s Naval Buildup","","02/10/2017","","","","","","","

  True Viral News","","","","","","","","","the San Francisco Bay Area. Learn more at revealnews.org and subscribe to the Reveal podcast, produced with PRX, at revealnews.org/podcast.","edit","64821"
"The cost of Trump’s border is going up","","02/10/2017","","","","","","","

  Blog - Reveal","","","","","","","","","to Customs and Border Protection figures. Reveal from The Center for Investigative Reporting has mapped the types of fence and their","edit","64826"
"An Important Read for Californians, from The Center for Investigative Reporting","","02/10/2017","","","","","","","

  Geotripper","","","","","","","","","to read the following article by Nathan Halverson from Reveal: Center for Investigative Reporting (and reposted in the High Country Times)","edit","64831"
"Riot charge used against journalists in ND","","02/10/2017","","","","","","","

  West Fargo Pioneer","","","","","","","","","pipeline since September for Indian Country Media Network, the Center for Investigative Reporting, PBS NewsHour and High Country News, said","edit","64836"
"The Human Toll Of Naval Shipbuilding Is Staggering","","02/10/2017","","","","","","","

  Myinforms","","","","","","","","","new report.

Advertisement

In an explosive investigation by The Center for Investigative Reporting (via Politico), reporters found that the","edit","64841"
"‘And a slap in the face to the voters of N.D.’","","02/11/2017","","","","","","","

  The Bismarck Tribune","","","","","","","","","","edit","64846"
"Riot charge used against journalists covering N.D. pipeline protests","","02/10/2017","","","","","","","

  The Billings Gazette","","","","","","","","","pipeline since September for Indian Country Media Network, the Center for Investigative Reporting, PBS NewsHour and High Country News, said","edit","64851"
"Pipeline Resistance Broadens: On the Day Dakota Access Oil Flows, Go One Day Without Oil","","02/12/2017","","","","Mention / Citation","","","

  YES! Magazine","","Environment, Government accountability","","","DAPL, Standing Rock","","","",".

But the White House wasn’t taking calls. So the Center for Investigative Reporting and its Reveal News has created a new phone number to","edit","64881"
"Here’s What We Know About Trump’s Mexico Wall","","02/13/2017","","","","Mention / Citation","","","

  Bloomberg","","Border","","","Border wall","","","","and barbed wire.

Existing Barriers Along Southwest Border

Sources: Center for Investigative Reporting, U.S. Customs and Border Protection","edit","64916"
"Man convicted in explosion that killed Kansas City firefighters could go free, but he won’t admit guilt","","02/14/2017","","","","Mention / Citation","","","

  Fox4KC.com","","Criminal Justice, Government accountability","","","Kansas City","","","",", Debbie McKarnin, was interviewed recently on Reveal by The Center for Investigative Reporting and PRX. They provided FOX 4 with audio from","edit","65001"
"Victoria Brahm tries to heal scandal-plagued Tomah VA Medical Center","","02/15/2017","","","","Mention / Citation","","","

  The Oshkosh Northwestern","","Veterans","Veterans Opiates","","Tomah","","","","work culture. A January 2015 report by the Center for Investigative Reporting revealed a pervasive culture of intimidation and retaliation","edit","65011"
"The No DAPL Movement: New Shapes, New Fronts - story mentions Reveal's call for voice memos about DAPL","","02/16/2017","","Organization uses content","","","","","

  Sightline Institute","","Environment, Government accountability","","","DAPL, Standing Rock","","","","House wasn’t actually taking calls on the issue. So the Center for Investigative Reporting and Reveal News created a new phone number to","edit","65086"
"Austal Employees Sue Over ‘Dangerous Tool’","","02/17/2017","","Lawsuit filed","","Mention / Citation","","","

  WKRG News 5","","Government accountability, Working world","","","Shipbuilders","","","","from severed and cut fingers to other lacerations.

The Center for Investigative Reporting (CIR) uncovered company emails that describe the","edit","65131"
"The Invisible Hazard Afflicting Thousands of Schools","","02/17/2017","","","","Full story","","","

  Education Writers Association","","Environment, Youth","","","School pollution","","","","by the Center for Public Integrity and Reveal from The Center for Investigative Reporting. That’s about one in every 11 public schools,","edit","65136"
"Her Campus Reveal recommendation Podcasts: The Entertainment You've Been Missing","","02/17/2017","","Organization uses content","","","","","

  Her Campus","","Reveal (general)","","","","","","","this is my favorite podcast of all time. It is produced by the Center for Investigative Reporting (CIR) and the Public Radio Exchange (PRX),","edit","65166"
"The unsolved mystery of an ocean protector’s disappearance","","02/18/2017","","","","Full story","","","

  Grist","","Government accountability, Working world","","","Ship disappearance","","","","Some never return at all. Since 2007, Reveal from The Center for Investigative Reporting found that at least nine observers have died on the","edit","65176"
"Workers sue Mobile shipyard, claims tool caused serious injuries","","02/18/2017","","Organization uses content","","Mention / Citation","","","

  The Seafarer Times","","Government accountability, Working world","","","Shipbuilders","","","","makes some workers use dangerous tools.

A report by the center for investigative reporting described the tool as a grinder modified with a","edit","65186"
"Nearly 8,000 U.S. public schools are plagued by toxic air","","02/20/2017","","","","Mention / Citation","","","

  Grist","","Environment, Youth","","","School pollution","","","","by the Center for Public Integrity and Reveal from The Center for Investigative Reporting. That’s about one in every 11 public schools,","edit","65196"
"The long march to block LePage’s new welfare reforms starts today","","02/21/2017","","","","Mention / Citation","","","

  State & Capitol - Maine Politics","","Government accountability","","","Shipbuilders","","","","to protect the sea. Then he vanished from his ship — The Center for Investigative Reporting

How my mother-in-law whistles like a ‘manly man","edit","65206"
"America Builds Too Many Schools By Highways","","02/21/2017","","Organization uses content","","","","","

  Streetsblog USA","","Environment, Youth","","","School pollution","","","","new investigation by the Center for Public Integrity and the Center for Investigative Reporting. Attending school by a highway puts kids at","edit","65226"
"5 Ways Trump's Deportation Plan Helps Criminals","","02/22/2017","","","","Mention / Citation","","","

  InSight Crime","","Border, Customs and Border Protection","Border drugs, Customs and Border Protection","","","","","","","edit","65236"
"Taxpayer-Funded Horror at Standing Rock","","02/21/2017","","","","Mention / Citation","","","

  The Daily Beast","","Government accountability","","","Standing Rock, DAPL","","","","Monet, on assignment for Indian Country Today and the Center for Investigative Reporting, was recently arrested while covering a police","edit","65251"
"The Scripps Research Institute Announces New Board Member William Hearst","","02/21/2017","","","","Mention / Citation","","","

  Money","","CIR (general)","","","","","","",", FORA.tv, the San Francisco Film Society and The Center for Investigative Reporting. Hearst is a fellow of the American Association for the","edit","65261"
"From 'Boober' to #DeleteUber, the 12 times Uber disgusted all of us","","02/21/2017","","","","Mention / Citation","","","

  Mashable","","Government accountability, Working world","","","Uber","","","","","edit","65266"
"Children at Nearly 8,000 U.S. Public Schools Breathe Highly Polluted Air","","02/21/2017","","Organization uses content","","","","","

  EnvironmentGuru.com","","Environment, Youth","","","School pollution","","","","a new investigation by the Center for Public Integrity and Reveal from The Center for Investigative Reporting.Read more on E360 ? READ MORE","edit","65271"
"Former OSHA head warns Navy about shipbuilding hazards","","02/23/2017","","Organization uses content","","","","","

  Safety.BLR.com","","Government accountability, Working world","","","Shipbuilders","","","","the protection of their workers, Michaels suggested.

The Center for Investigative Reporting cited the example of one shipbuilder that","edit","65296"
"New Bill Would Require Religious Daycares To Be Licensed and Inspected","","02/23/2017","Law proposed","","","Mention / Citation","","","

  Legal Reader","","Government accountability, Religion, Youth","Religious loophole","","","","","",".”

Daycare Regulation Map; Image Courtesy of Reveal, https://www.revealnews.org/
It should be noted that this is not an attack on religious","edit","65301"
"4.4 Million Children Breathe Dangerous Pollution at Schools (Video)","","02/23/2017","","","","Mention / Citation","","","

  The Epoch Times","","Environment, Youth","","","CPI","","","","A new report from the Center for Public Integrity and The Center for Investigative Reporting found that about one in 11 public schools are","edit","65306"
"Children Breathe Dangerous Pollution At Almost 8,000 Public Schools","","02/23/2017","","","","Mention / Citation","","","

  NewsR","","Environment, Youth","","","CPI","","","","A new report from the Center for Public Integrity and The Center for Investigative Reporting found that about one in 11 public schools are","edit","65316"
"Children breathe dangerous pollution at almost 8,000 public schools - CPI story on Reveal","","02/24/2017","","","","Mention / Citation","","","

  AOL.com","","Environment, Youth","","","CPI","","","","A new report from the Center for Public Integrity and The Center for Investigative Reporting found that about one in 11 public schools are","edit","65331"
"Trumpdate: Tons of employment-related stuff!","","02/24/2017","","","","Mention / Citation","","","

  JD Supra","","Working world","Trump","","EEOC","","","","of one. Will Evans of Reveal, the website of The Center for Investigative Reporting, has a helpful post reviewing her votes on whether to","edit","65336"
"Robert Rosenthal in public appearance: How Donald Trump won the White House with a 21st century mindset","","02/25/2017","","","","Staff gives interview (or public appearance)","","","

  East Bay Times","","CIR (general)","Trump","","","","","","civil war,” said Rosenthal, executive director of The Center for Investigative Reporting, “because you believe what you want to believe, and","edit","65351"
"Deportaciones de Trump podrían favorecer al crimen: InSight Crime","","02/27/2017","","","","","","","

  Hombres del Poder","","","","","","","","","Apoyado en información del Centro de Periodismo de Investigación (Center for Investigative Reporting), el análisis se argumenta en una serie","edit","65421"
"Remembering David Donald, a pioneer of data journalism","","02/27/2017","","","","","","","

  Investigative Reporters and Editors","","","","","","","","","said Jennifer LaFleur, a senior data editor at Reveal from the Center for Investigative Reporting. “The stuff they did with Medicare at CPI,","edit","65426"
"When Foster Care Couldn’t Help This 16 Year-Old, She Ran To A Pimp","","02/27/2017","","","","","","","

  SHESAID AustraliaSHESAID Australia","","","","","","","","","works for Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX. Ryan Murphy was the lead developer on","edit","65431"
"When a Pimp’s \","","02/27/2017","","","","","","","

  True Viral News","","","","","","","","",", also works for Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX.

Well…it’s not wrong.

DESU- I","edit","65436"
"How Donald Trump won the White House with a 21st-century mindset","","02/25/2017","","","","","","","

  Long Room","","","","","","","","","civil war,” said Rosenthal, executive director of The Center for Investigative Reporting, “because you believe what you want to believe, and","edit","65441"
"RESSOURCEN/193: Indigene geräumt und verhaftet - Weg frei für North-Dakota-Access-Pipeline (SB)","","02/25/2017","","","","","","","

  Schattenblick","","","","","","","","","-access-pipeline-rejected/story?id=43274356

[5] https://www.revealnews.org/blog/some-standing-rock-protesters-resolve-to-stay-put-even-as-","edit","65446"
"The Hate Report: Bomb threats, a deadly shooting and a mosque arson","","02/24/2017","","","","","","","

  Blog - Reveal","","","","","","","","","of the mosques leaders said Friday morning.

Will Carless can be reached at wcarless@revealnews.org. Follow him on Twitter: @willcarless.","edit","65451"
"Trump’s border wall bidding to begin","","02/24/2017","","","","","","","

  Blog - Reveal","","","","","","","","","wall, visit https://www.revealnews.org/topic/the-wall/.

Andrew Becker can be reached at abecker@revealnews.org. Follow him on Twitter: @","edit","65456"
"Buscan que haya mayor transparencia","","02/27/2017","","","","","","","

  Página/12","","","","","","","","","de Pakistan. En 2011, el periodista Umar Cheema del Center for Investigative Reporting reveló que 7 de cada 10 legisladores paquistaníes","edit","65461"
"Riding high, crashing hard: A cautionary tale of Facebook dependence","","02/28/2017","","","","","","","

  Reveal","","","","","","","","",". I had all kinds of feelings,” Provost told Reveal from The Center for Investigative Reporting. “My first instinct, in the past, would have","edit","65466"
"Buscan que haya mayor transparencia (Página 12)","","02/28/2017","","","","","","","

  paralelohoy","","","","","","","","","de Pakistan. En 2011, el periodista Umar Cheema del Center for Investigative Reporting reveló que 7 de cada 10 legisladores paquistaníes","edit","65471"
"Periodistas de todo el mundo piden a parlamentarios chilenos revelar sus impuestos","","02/28/2017","","","","","","","

  Ciper Chile","","","","","","","","","para que los inspeccionen.

Después de que el Center for Investigative Reporting en Pakistán revelara los extendidos abusos tributarios","edit","65476"
"Employment Law Navigator – Week in Review: February 2017 #4","","02/28/2017","","","","","","","

  JD Supra","","","","","","","","","she refused to attend a business lunch at Hooters.

The Center for Investigative Reporting took a detailed look at new EEOC chair Victoria","edit","65481"
"Reveal: The Religious Freedom Loophole","","02/28/2017","","","","","","","

  KGNU News","","","","","","","","","are safe?

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX. For more, check out our website and","edit","65486"
"VA Wrongful Death Lawsuits Continue To Climb","","03/01/2017","","","","","","","

  Legal Reader","","","","","","","","","to a Freedom of Information Act request obtained by The Center for Investigative Reporting. Unfortunately, many veterans who rely on VA","edit","65491"
"Despite Hype, Numbers Show Serbia’s Stalling Anti-Corruption Fight","","03/01/2017","","","","","","","

  OCCRP","","","","","","","","","came to power in 2012, data analyzed by OCCRP partner the Center for Investigative Reporting Serbia (CINS) shows that the country’s justice","edit","65496"
"Simple Solution to Address Systemic Corruption","","03/01/2017","","","","","","","

  Community Issues • Pensacola","","","","","","","","","In a recent exposé, journalists from Reveal at The Center for Investigative Reporting exposed an accountability gap that has allowed the","edit","65501"
"Periodistas de todo el mundo piden a parlamentarios chilenos revelar sus impuestos","","03/01/2017","","","","","","","

  Rodexo","","","","","","","","","para que los inspeccionen.

Después de que el Center for Investigative Reporting en Pakistán revelara los extendidos abusos tributarios","edit","65506"
"This is what Americans think of the Mexico border wall","","03/01/2017","","","","","","","

  CGTN America","","","","","","","","","wall already exists in some places.

Research from the Center for Investigative Reporting shows the border wall spans some 3,000 kilometers","edit","65511"
"The Best Business Reads of February","","03/01/2017","","","","","","","

  The Atlantic","","","","","","","","","for their safety problems, an investigation by Reveal from The Center for Investigative Reporting has found.

* * *

“Below Deck”

Lizzie","edit","65516"
"Why the Justice Department’s reversal on Texas voter ID matters","","03/01/2017","","","","","","","

  Blog - Reveal","","","","","","","","","intent in 2011,” she said, according to Bloomberg.

Andrew Donohue can be reached at adonohue@revealnews.org. Follow him on Twitter: @add.","edit","65521"
"Shipbuilder that hosted Trump speech has been fined for endangering workers","","03/02/2017","","","","","","","

  Blog - Reveal","","","","","","","","","return a message requesting comment.

Jennifer Gollan can be reached at jgollan@revealnews.org. Follow her on Twitter: @jennifergollan.","edit","65526"
"Birds","","03/02/2017","","","","","","","

  Land Management Readings","","","","","","","","","https://www.revealnews.org/article/the-other-audubon-the-one-that-allows-golf-courses-to-kill-birds/","edit","65531"
"Mexico's Cemex Willing to do Cement Work for Border Wall","","03/02/2017","","","","","","","

  Steelers Lounge","","","","","","","","","and 300 miles of vehicle barriers.

Research from The Center for Investigative Reporting shows the border wall spans some 1,100 kilometers (","edit","65536"
"Former PCC Instructor faces protest charges","","03/02/2017","","","","","","","

  AztecPressOnline","","","","","","","","","don’t. It’s 101 stuff.”

Web publications such as the Center for Investigative Reporting and Native-media outlets like High Country News and","edit","65541"
"Invisible Harm: Toxic school air affects 8,000 public schools","","03/02/2017","","","","","","","

  NewsDog","","","","","","","","","project between The Center for Public Integrity and The Center for Investigative Reporting that studied air pollution from roadways impacts","edit","65546"
"Is There a Business Model For Serious Journalism in the Age of Trump?","","03/02/2017","","","","","","","

  Myinforms","","","","","","","","","numbers have also surged for ProPublica, Slate, the Center for Investigative Reporting, and others (including the Columbia Journalism Review","edit","65551"
"Scientists say Trump's border wall would devastate wildlife habitat","","03/03/2017","","","","","","","

  Myhighplains.com","","","","","","","","","and Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX.

Disclosure: The Nature Conservancy and","edit","65556"
"Scientists say Trump’s border wall would devastate wildlife habitat","","03/03/2017","","","","","","","

  Valley Morning Star","","","","","","","","","a collaboration between The Texas Tribune and Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX.","edit","65561"
"Sanders, Warren demand criminal investigation into Navy shipbuilder","","03/03/2017","","","","","","","

  Blog - Reveal","","","","","","","","","Marine, citing a recent investigation by Reveal from The Center for Investigative Reporting that uncovered how the Navy and Coast Guard","edit","65566"
"‘Brute force’ at Standing Rock was on taxpayers’ dime","","03/03/2017","","","","","","","

  Reveal","","","","","","","","",", on assignment for Indian Country Today and Reveal from The Center for Investigative Reporting, was arrested Feb. 1 while covering a police","edit","65571"
"The Hate Report: Kansas’ lone wolf and Atlanta’s anti-Semitic history","","03/03/2017","","","","","","","

  Blog - Reveal","","","","","","","","","emails to two metro mosques in early February.

Will Carless can be reached at wcarless@revealnews.org. Follow him on Twitter: @willcarless.","edit","65576"
"The deadliest route to the American dream","","03/03/2017","","","","","","","

  Reveal","","","","","","","","","might choose to risk their lives.

Reveal from The Center for Investigative Reporting in recent weeks went to the Southwest border to report","edit","65581"
"Scientists say Trump's border wall would devastate wildlife habitat","","03/04/2017","","","","","","","

  Standard-Times","","","","","","","","","Tribune and Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX. The Texas Tribune is a nonpartisan,","edit","65586"
"Judge frees man convicted of deadly Kansas City arson","","03/04/2017","","","","","","","

  Blog - Reveal","","","","","","","","","Mike McGraw’s full story here. Listen to the Reveal episode below:

Michael Montgomery can be reached at mmontgomery@revealnews.org.","edit","65591"
"Hundreds Of Marines Caught Sharing Nude Photographs Of Female Colleagues","","03/05/2017","","","","","","","

  True Viral News","","","","","","","","","their female colleagues on Facebook, according to The Center for Investigative Reporting.

The Department of Defense opened an investigation","edit","65596"
"Left brain, right brain: How drawing can help journalists find focus","","03/05/2017","","","","","","","

  Investigative Reporters and Editors","","","","","","","","","Scott Pham and Jennifer LaFleur, from Reveal for the Center for Investigative Reporting, discussed how drawing can help journalists develop","edit","65601"
"Marines being investigated over salacious photo sharing of women service members","","03/05/2017","","","","","","","

  WKYT-TV","","","","","","","","",",” said Sergeant Major Green.

On its Reveal web site, the Center for Investigative Reporting found that since Jan. 30, more than two dozen","edit","65606"
"Hundreds of Marines investigated for sharing photos of naked colleagues","","03/05/2017","","","","","","","

  Democratic Underground","","","","","","","","",". Others suggested more than vaginal sex:

Read more: https://www.revealnews.org/blog/hundreds-of-marines-investigated-for-sharing-photos-","edit","65611"
"美 해병 음란사이트 수사로 '발칵'…女해병들 누드사진 유포","","03/05/2017","","","","","","","

  매일경제 증권센터","","","","","","","","","성명, 근무처 등이 노출돼있으며, 해병들의 개인 페이스북과 링크돼있다고 캘리포니아의 탐사보도센터(the Center for Investigative Reporting)가 전했다.

탐사보도센터는 현역·전역 여성 해병들의 누드사진은 확인된 것만 최소","edit","65616"
"Hundreds of Marines investigated for naked photos swap","","03/05/2017","","","","","","","

  True Viral News","","","","","","","","","pics on a private Facebook page since Jan. 30, the Center for Investigative Reporting revealed. The photos exposed more than two dozen women","edit","65621"
"Marines being investigated over salacious photo sharing of women service members","","03/05/2017","","","","","","","

  KTVQ.com","","","","","","","","",",” said Sergeant Major Green.

On its Reveal web site, the Center for Investigative Reporting found that since Jan. 30, more than two dozen","edit","65626"
"DOD investigating hundreds of Marines for sharing nude photos of female colleagues","","03/05/2017","","","","","","","

  Long Room","","","","","","","","","Facebook page, ""Marines United,"" according to the Center for Investigative Reporting.

Images - Women - Acts

Some images showed women","edit","65631"
"The US military is investigating a secret Facebook group that spread naked pictures of service women","","03/05/2017","","","","","","","

  The Verge","","","","","","","","","Yesterday, The Center for Investigative Reporting published a report that revealed that the Naval Criminal Investigative Service (NCIS) has","edit","65636"
"#159: Customer Engagement and Community, with Christopher Michel, Investor and Entrepreneur","","03/05/2017","","","","","","","

  Robot News","","","","","","","","","of the National Academies. In addition, he’s an advisor to the Center for Investigative Reporting (CIR).

He was also an Entrepreneur-in-","edit","65641"
"Marines being investigated for sharing nude photos of female military members","","03/05/2017","","","","","","","

  NewsDog","","","","","","","","","","edit","65646"
"Marines Investigated for Sharing Nude Photos of Colleagues","","03/05/2017","","","","","","","

  True Viral News","","","","","","","","","we represent.”

The investigation was first reported by the Center for Investigative Reporting. The activity was revealed by The War Horse,","edit","65651"
"Comment on Heat and Harvest – the documentary by Copy","","03/05/2017","","","","","","","

  Myinforms","","","","","","","","","by salt in the groundwater, which burned their leaves. Photo: Center for Investigative Reporting.
The second story, Dry and Salted, examines","edit","65656"
"SNS 통해 음란사진 유포한 美 해병들","","03/05/2017","","","","","","","

  서울경제","","","","","","","","","없는 여성들의 사진도 유포하고 외설적인 댓글을 달았다고 보도했다.

이 사실을 처음 폭로한 캘리포니아의 탐사보도센터(Center for Investigative Reporting)는 해병연합에 스무 명 이상의 현역 여성 해병들의 계급, 성명, 거주지와","edit","65661"
"Hundreds of U.S. Marines are being investigated for sharing sexual photos of their female colleagues in a secret Facebook group","","03/05/2017","","","","","","","

  Long Room","","","","","","","","","the servicewomen as revealed in the report by Reveal of the Center for Investigative Reporting and The War Horse.

Veteran - Google - Drive","edit","65666"
"Marines allegedly shared hundreds of photos of naked colleagues on Facebook","","03/05/2017","","","","","","","

  Semiconductors - EIN News","","","","","","","","","first investigated and published by The War Horse and the Center for Investigative Reporting, were revealed Saturday. The reporter who wrote","edit","65671"
"Marines being investigated over salacious photo sharing of women service members","","03/05/2017","","","","","","","

  News - MSN CA","","","","","","","","",".

Green was responding to reports published by the Center for Investigative Reporting that hundreds of Marines are being investigated for","edit","65676"
"Some Marines being investigated for sharing nude photos","","03/05/2017","","","","","","","

  KOLO","","","","","","","","","manner is distasteful and shows an absence of respect.

The Center for Investigative Reporting says the photographs were shared on a secret","edit","65681"
"Scientists Say Trump’s Border Wall Would Devastate Wildlife Habitat","","03/05/2017","","","","","","","

  The Rivard Report","","","","","","","","","and Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX.

Disclosure: The Nature Conservancy and","edit","65686"
"U.S. Marines investigated for sharing nude photos of female Marines, veterans","","03/05/2017","","","","","","","

  Global News","","","","","","","","","manner is distasteful and shows an absence of respect.

The Center for Investigative Reporting says the photographs were shared on a secret","edit","65691"
"World News Topics: Some Marines Being Investigated for Sharing Nude Photos","","03/06/2017","","","","","","","

  RobinsPost.com","","","","","","","","","nude photographs of female service members and veterans, The Center for Investigative Reporting says. Hundreds, and possibly thousands, of .","edit","65696"
"分享女軍人裸照 海軍陸戰隊員接受調查","","03/06/2017","","","","","","","

  新聞中心首頁_新浪網-北美","","","","","","","","","Green）说：“這種行為與我們所代表的形象是完全相反的。”

最先報導這起調查的是調查報導中心（Center for Investigative Reporting，簡稱CIR），而這起事件是由海軍陸戰隊資深成員托馬斯•佈雷南（Thomas Brennan）運營的一個非盈利性新","edit","65701"
"Facebook group hosting naked photos of women soldiers discovered, US military launches investigation","","03/06/2017","","","","","","","

  IBTimes","","","","","","","","","Marines.

The investigation was first brought to light by The Center for Investigative Reporting (CIR), which published a report revealing","edit","65706"
"分享女军人裸照 海军陆战队员接受调查","","03/06/2017","","","","","","","

  新闻_侨报网","","","","","","","","","Green）说：“这种行为与我们所代表的形象是完全相反的。”

最先报道这起调查的是调查报道中心（Center for Investigative Reporting，简称CIR），而这起事件是由海军陆战队资深成员托马斯•布雷南（Thomas Brennan）运营的一个非盈利性新","edit","65711"
"Marine Corps Rocked by Nude Photo Scandal","","03/06/2017","","","","","","","

  Top News Today","","","","","","","","",", a nonprofit news organization run by Thomas Brennan, himself a Marine veteran, and published by the Center for Investigative Reporting.","edit","65716"
